local_price;dollar_ex;dollar_price
25;1;25
259;1;259
295;1;295
19;1;19
285;1;285
12600;514;245
99;8;124
5437;39;139
2475;8;309
256;1;256
102;7;146
3390;279;122
145000;7945;183
145;4;362
2940;106;277
452;3;151
209;9;232
34;2;17
55;4;138
395;28;141
32;1;32
90;6;15
30000;1108;271
240;8;30
59;1;59
700;30;233
550;38;145
224;1;224
25;1;25
30;1;30
36;2;18
199;1;199
333;1;333
12600;601;21
99;8;124
560;39;144
2475;8;309
257;1;257
107;7;153
3990;303;132
147000;10855;135
2940;124;237
452;3;151
219;9;243
36;2;18
590;50;118
59;4;148
350;28;125
33;1;33
97;8;121
30000;1325;226
240;10;24
63;1;63
700;32;219
550;45;122
224;1;224
25;3;83
30;1;30
36;2;18
199;1;199
333;1;333
14000;655;214
105;8;131
5628;34;166
2475;8;309
267;1;267
112;8;14
4590;272;169
160000;9430;17
120;4;30
2620;130;202
504;3;168
219;9;243
36;2;18
350;8;438
85;3;283
650;51;127
59;4;148
390;31;126
33;1;33
97;10;97
31000;1304;238
260;10;26
63;1;63
700;34;206
550;43;128
40000000;1324500;302
235;1;235
25000;857;292
41;2;205
30;1;30
455;3;152
199;1;199
32;1;32
14000;716;196
99;8;124
5657;28;202
2775;6;462
80;5;16
271;1;271
115;7;164
4900;224;219
161000;8740;184
2620;120;218
504;3;168
230;10;23
395;1;395
79;3;263
650;52;125
63;3;21
410;31;132
33;1;33
1395;7;199
33000;1220;27
300;8;375
63;1;63
700;34;206
590;42;14
37500000;1600500;234
246;1;246
37000;1598;232
436;2;218
325;1;325
54;3;18
188;1;188
319;1;319
14000;641;218
104;8;13
65000;2769;235
11300;433;261
5642;26;217
2775;6;462
100;6;167
274;1;274
120;7;171
5300;211;251
161000;9120;177
2620;113;232
504;3;168
240;11;218
435;1;435
355;6;592
1100;57;193
899;3;30
690;55;125
63;3;21
420;29;145
24;3;8
33;1;33
124;6;207
32000;1177;272
1400;99;141
300;7;429
63;1;63
750;33;227
590;40;148
39500000;1531000;258
725;5;145
247;1;247
298;29;103
44000;2977;148
475;2;238
325;1;325
59;2;295
188;1;188
328;1;328
15000;592;253
105;8;131
65000;2327;279
11300;475;238
5642;24;235
2775;6;462
90;5;18
292;1;292
120;7;171
5300;203;261
146000;9545;153
2500;106;236
525;3;175
280;10;28
445;1;445
390;6;65
1300;59;22
899;3;30
800;54;148
65;3;217
420;28;15
90;3;30
36;1;36
1395;6;232
25000;1005;249
1750;99;177
310;7;443
63;1;63
750;31;242
600;40;15
40;1;40
90;3;30
725;5;145
258;1;258
440;24;183
56000;2629;213
475;3;158
325;1;325
62;2;31
188;1;188
352;1;352
15600;522;299
105;8;131
620;23;27
2775;6;462
925;5;185
291;1;291
120;7;171
5600;206;272
146000;9460;154
2500;114;219
55;3;183
280;10;28
445;1;445
95;3;317
820;52;158
65;3;217
460;28;164
